emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,stimoli/02.subtle/JF2_Neutral.wmv,neutral,subtle,femmina,6,9,1646,926,0,0,0,0,,,,,,,,,0,3,3,25,,,,,,,,,,,,,-165.96375653207352,colpa,4.123105625617661,neutral,1,,,,,,,,,,neutral,[-260.0],[-1.0],[1],[0],[0],[9.322959636405358],['neutral_1'],0.010834206128038204,None,0.11103819337801372,soddisfazione,256.5092590921427,neutral,1,[260.0],[1.0],[1],[0],[0],[2.367992642604804],['neutral_5'],0.008815050404564317,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/F03-Neutral-Face Forward.wmv,neutral,full,femmina,2,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,53,-58.760785111791236,interesse,71.34423592694787,interesse,2,,,,,,,,,,neutral,[-219.0],[-61.0],[1],[0],[0],[9.393459047769056],['interesse_2'],0.010844766063655698,None,-4.480001534968362,soglievo,259.2469864820033,paura,1,[229.0],[-38.0],[1],[0],[0],[8.214132458074573],['paura_5'],0.00804353509511202,None,n,4.871313676183718,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/02.subtle/JF1_Happiness.wmv,happy,subtle,femmina,5,10,1646,926,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,12,34.540090907070876,gioia,93.47726996441435,gioia,3,,,,,,,,,,happy,[-179.0],[53.0],[1],[0],[0],[7.84035617063455],['gioia_3'],0.01080604629919435,None,-2.1593097890821022,soglievo,257.71883904751706,sollievo,3,[354.0],[-23.0],[1],[0],[0],[4.685659511190124],['sollievo_7'],0.008945289612711349,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/M02-Anger-Face Forward.wmv,angry,full,maschio,3,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,34,102.15494169722223,rabbia,66.49060083951716,rabbia,2,,,,,,,,,,angry,[-270.0],[65.0],[1],[0],[0],[8.828636241891672],['rabbia_2'],0.01075484661032533,None,-7.245413560350668,soglievo,265.1339284210906,sorpresa,2,[271.0],[-67.0],[1],[0],[0],[4.603297131953468],['sorpresa_6'],0.009032649081518684,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/F03-Sadness-Face Forward.wmv,sad,full,femmina,2,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,45,-98.20721641191815,tristezza,105.07616285342742,tristezza,3,,,,,,,,,,sad,[-271.0],[-104.0],[1],[0],[0],[5.298926822524891],['tristezza_3'],0.010744606672915324,None,-7.348535811262378,soglievo,263.5792101058048,paura,2,[217.0],[-61.0],[1],[0],[0],[8.285956021387392],['paura_6'],0.00926656765932421,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/02.subtle/JM2_Sadness.wmv,sad,subtle,maschio,8,10,1646,926,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,19,-168.6900675259798,colpa,107.07940978544848,colpa,3,,,,,,,,,,sad,[-361.0],[-21.0],[1],[0],[0],[5.510856413992997],['colpa_3'],0.010679647067718179,None,-7.339606280031193,soglievo,262.1678851423263,vergogna,3,[171.0],[-55.0],[1],[0],[0],[5.662355012881562],['vergogna_7'],0.009100488668991602,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/M03-Disgust-Face Forward.wmv,disgusted,full,maschio,4,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,39,101.38917969805453,rabbia,141.79210133149166,rabbia,4,,,,,,,,,,disgusted,[-284.0],[139.0],[1],[0],[0],[2.698965350290564],['rabbia_4'],0.010606687511199198,None,5.840837503908278,soddisfazione,261.07470195329154,disprezzo,2,[223.0],[49.0],[1],[0],[0],[5.309425638692119],['disprezzo_6'],0.00910464864386995,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/F01-Surprise-Face Forward.wmv,surprised,full,femmina,1,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,48,-76.07165806084632,sorpresa,128.7866452703851,sorpresa,4,,,,,,,,,,surprised,[-225.0],[-125.0],[1],[0],[0],[5.299436899423654],['sorpresa_4'],0.010881245842028875,None,6.1339278307198475,soddisfazione,263.2679243660344,euforia,2,[293.0],[59.0],[1],[0],[0],[4.403106989109574],['euforia_6'],0.008716491003724514,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/01.full/M02-Surprise-Face Forward.wmv,surprised,full,maschio,3,6,720,576,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,50,-79.7431801583036,sorpresa,106.70520137275409,sorpresa,3,,,,,,,,,,surprised,[-237.0],[-105.0],[1],[0],[0],[5.58171902314848],['sorpresa_3'],0.010768286528673343,None,0.11060947555190032,soddisfazione,256.5131575572684,neutral,1,[262.0],[1.0],[1],[0],[0],[6.097185009115037],['neutral_5'],0.008790090556203722,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
,,stimoli/02.subtle/JF2_Disgust.wmv,disgusted,subtle,femmina,6,10,1646,926,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,9,146.87384910237358,disgusto,140.90067423543437,disgusto,4,,,,,,,,,,disgusted,[-374.0],[77.0],[1],[0],[0],[1.8404451300937126],['disgusto_4'],0.010786526417859932,None,10.405208766978957,soddisfazione,269.4828380435385,disprezzo,3,[196.0],[83.0],[1],[0],[0],[2.5678560674350592],['disprezzo_7'],0.008835850278273938,None,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
